id,delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken (min)
0x12c5,21.0,4.7,22.744648,75.894377,22.794648,75.944377,20:15,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,10
0x68a0,24.0,4.7,13.022394,80.242439,13.132394,80.352439,21:50,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,28
0xb6d4,24.0,4.3,12.933284,77.615428,13.063284,77.745428,17:35,Fog,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,39
0x4291,34.0,3.8,21.186884,72.793616,21.296884,72.903616,22:30,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,39
0x2714,37.0,4.7,11.010375,76.95295,11.140375,77.08295,21:05,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,43
0x27a4,21.0,4.7,22.75004,75.902847,22.77004,75.922847,08:50,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19
0x4338,39.0,4.6,12.979096,77.640625,13.039096,77.700625,20:45,Windy,Jam,2,Buffet,motorcycle,2.0,No,Urban,34
0xd690,23.0,4.7,25.451517,81.832616,25.471517,81.852616,11:25,Windy,High,0,Snack,motorcycle,0.0,No,Urban,19
0x6170,,,12.323225,76.630028,12.413225,76.720028,23:45,,,3,Buffet,electric_scooter,0.0,No,Metropolitian,18
0x4d29,22.0,4.5,19.176269,72.836721,19.266269,72.926721,22:35,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,24
0xad7a,36.0,4.3,13.066762,80.251865,13.096762,80.281865,22:25,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,33
0x824c,38.0,3.2,18.536562,73.896485,18.616562,73.976485,23:35,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,32
0x793f,37.0,4.9,17.440827,78.393391,17.490827,78.443391,19:40,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27
0xa5c0,39.0,4.7,19.055831,72.833984,19.105831,72.883984,17:50,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,30
0x4208,34.0,4.6,13.086438,80.220672,13.216439,80.350672,20:20,Cloudy,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,48
0x2f7e,34.0,4.5,12.304569,76.643622,12.374569,76.713622,23:55,Fog,Low,2,Snack,scooter,0.0,No,Metropolitian,26
0xa5cd,38.0,4.7,12.311072,76.654878,12.401072,76.744878,21:55,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41
0x8eb9,21.0,4.9,11.022298,76.998349,11.082298,77.058349,18:50,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,20
0x9235,27.0,4.5,19.065838,72.832658,19.125838,72.892658,21:20,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,22
0x8ac9,37.0,3.5,26.910262,75.783013,26.980262,75.853013,19:50,Stormy,Jam,2,Snack,scooter,2.0,No,Metropolitian,40
0x323b,29.0,4.9,12.933284,77.615428,13.063284,77.745428,20:05,Sunny,Jam,2,Snack,motorcycle,0.0,No,Urban,19
0x2d09,34.0,4.8,12.934179,77.615797,12.994179,77.675797,23:30,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0x755f,23.0,4.8,22.307898,73.167788,22.327898,73.187788,10:10,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Urban,19
0x1972,27.0,4.1,13.081878,80.248519,13.091878,80.258519,11:10,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0xe216,39.0,4.0,26.481547,80.299775,26.511547,80.329775,20:40,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,37
0xda78,21.0,4.6,26.471529,80.313458,26.511529,80.353458,13:45,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,15
0x51e2,31.0,4.7,26.913987,75.752891,27.053987,75.892891,23:40,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20
0x19d4,25.0,4.5,19.1813,72.836191,19.3113,72.966191,0.75,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,23
0x9da1,29.0,4.8,22.732225,75.874765,22.762225,75.904765,18:30,Windy,Medium,2,Buffet,scooter,1.0,No,Urban,23
0x71cd,23.0,4.7,13.027018,80.254791,13.157018,80.384791,21:55,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,39
0x9054,30.0,4.8,18.569156,73.774723,18.679156,73.884723,22:15,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41
0x8aab,33.0,4.0,22.744648,75.894377,22.784648,75.934377,14:30,Windy,High,1,Meal,motorcycle,1.0,No,Urban,31
0x4858,39.0,4.6,12.970221,77.645396,13.040221,77.715396,18:50,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,22
0x3b7c,32.0,4.4,12.975996,80.221898,13.005996,80.251898,19:30,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,33
0xb7fa,39.0,4.5,17.483216,78.552111,17.553216,78.622111,1,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28
0x6aef,27.0,4.5,26.921411,75.793604,26.951411,75.823604,23:25,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21
0x360d,30.0,4.2,13.005801,80.250744,13.135801,80.380744,0.791666667,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,47
0x42dc,36.0,4.8,22.651847,75.881991,22.741847,75.971991,18:30,Fog,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,35
0x44ad,23.0,4.6,17.458998,78.500366,17.588998,78.630366,19:35,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33
0x4f56,35.0,4.6,19.221315,72.862381,19.301315,72.942381,18:55,Cloudy,Medium,0,Buffet,motorcycle,3.0,No,Metropolitian,48
0xaf57,28.0,4.7,22.753659,75.903365,22.833659,75.983365,19:45,Cloudy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,40
0x5ce,,,0.0,0.0,0.02,0.02,0.375,Stormy,Low,2,Meal,scooter,1.0,No,Urban,12
0x5bd9,21.0,4.8,19.12663,72.829976,19.16663,72.869976,15:35,Windy,Medium,2,Buffet,scooter,1.0,No,,27
0x3cd9,39.0,4.7,17.430448,78.418213,17.440448,78.428213,08:35,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,27
0x56e9,32.0,4.9,12.316967,76.603067,12.406967,76.693067,21:35,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,45
0xccfd,33.0,5.0,25.450329,81.834279,25.580329,81.964279,1,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26
0x496b,31.0,4.2,19.12663,72.829976,19.14663,72.849976,11:05,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,32
0x3c0b,35.0,5.0,19.254567,72.848923,19.284567,72.878923,23:25,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,24
0xb7e2,35.0,4.8,18.533811,73.899315,18.563811,73.929315,19:35,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,33
0x2de3,37.0,4.7,22.745536,75.893106,22.765536,75.913106,09:55,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,10
0x1081,,,26.891191,75.802083,26.941191,75.852083,23:20,Cloudy,Low,2,Snack,electric_scooter,,No,Metropolitian,14
0xaaa4,26.0,4.7,23.353783,85.326967,23.443783,85.416967,23:05,Stormy,Low,1,Buffet,scooter,1.0,No,Urban,18
0x8547,35.0,4.4,22.307898,73.167788,22.357898,73.217788,21:55,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,36
0x5bbb,39.0,4.2,19.121999,72.908493,19.231999,73.018493,19:25,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,40
0x4619,29.0,4.9,18.51421,73.838429,18.64421,73.968429,19:05,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Urban,16
0x31d0,29.0,4.9,21.149834,72.778666,21.169834,72.798666,09:10,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15
0x32d9,,,21.160437,72.774209,21.180437,72.794209,11:15,Windy,High,2,Snack,electric_scooter,0.0,No,Metropolitian,29
0x13a0,,,26.914142,75.805704,26.924142,75.815704,08:50,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,18
0x9e3d,26.0,4.9,23.355164,85.324097,23.385164,85.354097,21:55,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26
0x13ef,29.0,4.6,12.323994,76.626167,12.403994,76.706167,0.75,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,33
0x5f16,38.0,4.0,22.311603,73.165012,22.351603,73.205012,0.541666667,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,35
0x197f,37.0,4.6,19.091458,72.827808,19.171458,72.907808,23:15,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29
0xb60b,39.0,4.8,23.369746,85.33982,23.379746,85.34982,09:35,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,24
0xd5ef,32.0,4.8,27.157772,78.04725,27.177772,78.06725,10:20,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,24
0xc9d2,35.0,4.6,0.0,0.0,0.09,0.09,17:35,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,23
0xcfbe,39.0,4.6,30.335259,78.053162,30.395259,78.113162,0.916666667,Cloudy,Jam,2,Meal,scooter,0.0,No,Urban,30
0x4546,37.0,3.6,18.546258,73.904337,18.636258,73.994337,17:50,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,36
0x8227,22.0,4.3,26.849596,75.800512,26.919596,75.870512,0.833333333,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36
0xd737,23.0,4.9,9.959778,76.296106,10.049778,76.386106,20:30,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28
0x7567,36.0,5.0,22.751234,75.88949,22.761234,75.89949,10:25,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,12
0xd3fe,26.0,4.8,22.538999,88.322337,22.588999,88.372337,22:05,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,20
0x4abf,30.0,4.7,23.369746,85.33982,23.479746,85.44982,22:40,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,25
0x443e,26.0,4.6,22.310237,73.158921,22.320237,73.168921,10:50,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,12
0x1fb1,29.0,5.0,12.323994,76.626167,12.453994,76.756167,22:30,Fog,Low,1,Drinks,motorcycle,1.0,No,Urban,23
0x3a26,27.0,4.5,12.352058,76.60665,12.362058,76.61665,09:55,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17
0x9956,38.0,4.0,26.913726,75.75282,27.053726,75.89282,19:50,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41
0xa4b1,26.0,5.0,10.96185,76.971082,11.02185,77.031082,17:40,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28
0x9ae7,37.0,5.0,11.025083,77.015393,11.085083,77.075393,22:25,Sunny,Low,2,Snack,motorcycle,0.0,No,Urban,16
0xa540,31.0,4.9,17.483216,78.552111,17.593216,78.662111,18:45,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,30
0x649a,35.0,4.7,22.727021,75.884167,22.807021,75.964167,20:45,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26
0x26a2,32.0,4.5,0.0,0.0,0.06,0.06,23:50,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,21
0x8699,20.0,4.6,21.160522,72.771477,21.290522,72.901477,23:05,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18
0x9d8d,33.0,4.6,22.732225,75.874765,22.742225,75.884765,11:50,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,30
0x9165,22.0,4.7,12.934179,77.615797,13.044179,77.725797,21:55,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Urban,17
0x655f,21.0,4.9,11.001753,76.986241,11.111753,77.096241,21:25,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,23
0x8cc6,33.0,4.9,0.0,0.0,0.01,0.01,09:30,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17
0xc9c1,33.0,4.3,0.0,0.0,0.05,0.05,22:50,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22
0x30c1,28.0,4.6,22.728163,75.884212,22.768163,75.924212,14:30,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,28
0xd1f6,25.0,4.5,0.0,0.0,0.01,0.01,09:30,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,15
0xc60a,36.0,4.8,22.514119,88.362504,22.644119,88.492504,18:50,Windy,Medium,2,Meal,electric_scooter,1.0,No,Urban,28
0x949b,24.0,3.2,11.003681,76.975525,11.113681,77.085525,24:10:00,Sunny,Low,2,Drinks,scooter,0.0,Yes,Metropolitian,44
0xab23,24.0,5.0,26.902328,75.794257,26.962328,75.854257,20:30,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,28
0xe25f,31.0,4.0,30.893234,75.82172,30.923234,75.85172,0.916666667,Fog,Jam,2,Meal,scooter,0.0,No,Metropolitian,32
0x98dc,30.0,4.8,12.310972,76.659264,12.360972,76.709264,18:05,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28
0x2857,24.0,4.7,23.357804,85.325146,23.397804,85.365146,15:30,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,13
0x9be3,27.0,4.3,21.186884,72.793616,21.316884,72.923616,17:30,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32
0xaa1f,21.0,4.7,17.422819,78.449578,17.472819,78.499578,24:05:00,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
0xb0cc,38.0,4.9,12.325461,76.632278,12.395461,76.702278,23:20,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,15
0x338f,31.0,5.0,22.744648,75.894377,22.874648,76.024377,19:10,Sunny,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,18
0xb712,28.0,4.8,13.058616,80.264151,13.188616,80.394151,0.833333333,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,23
0xc6a,22.0,4.7,18.516216,73.842527,18.576216,73.902527,20:50,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,26
0xd318,38.0,4.8,15.576683,73.75575,15.656683,73.83575,17:35,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,26
0x9a48,25.0,5.0,11.022298,76.998349,11.032298,77.008349,10:30,Cloudy,Low,1,Snack,motorcycle,0.0,No,Urban,12
0xd831,34.0,4.2,15.56155,73.749092,15.59155,73.779092,22:15,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,30
0xa7e5,39.0,4.3,26.766536,75.837333,26.826536,75.897333,19:50,Stormy,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,33
0xd85,35.0,4.4,21.157729,72.768726,21.267729,72.878726,17:40,Sandstorms,Medium,1,Buffet,scooter,0.0,No,Metropolitian,33
0x7380,38.0,4.4,12.914264,77.6784,13.044264,77.8084,0.916666667,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,43
0xb34c,32.0,4.7,12.979096,77.640625,13.059096,77.720625,17:35,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,22
0x1f8d,31.0,4.6,18.592718,73.773572,18.722718,73.903572,18:10,Cloudy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30
0x1e1d,37.0,4.9,21.149569,72.772697,21.259569,72.882697,19:20,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,26
0xda22,24.0,4.8,22.514688,88.393294,22.594688,88.473294,20:30,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,27
0xceae,20.0,4.6,30.885915,75.788259,30.895915,75.798259,10:55,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15
0x8d67,22.0,4.9,13.005801,80.250744,13.015801,80.260744,10:10,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,16
0xc20,24.0,5.0,22.307898,73.167788,22.397898,73.257788,19:55,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,19
0xb6c3,20.0,4.6,26.902908,75.792934,26.952908,75.842934,21:15,Fog,Jam,0,Meal,motorcycle,0.0,No,Urban,26
0x6fe1,37.0,4.4,17.411028,78.329645,17.451028,78.369645,12:40,Stormy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,32
0x8460,31.0,4.8,17.424114,78.347554,17.554114,78.477554,22:40,Windy,Low,1,Buffet,scooter,0.0,No,Metropolitian,21
0x37e7,27.0,4.8,22.751234,75.88949,22.841234,75.97949,17:55,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,18
0x4f69,24.0,4.3,22.753659,75.903365,22.883659,76.033365,19:35,Cloudy,Jam,1,Drinks,scooter,1.0,No,Urban,41
0xdaa4,30.0,4.9,26.479108,80.315042,26.569108,80.405042,17:20,Fog,Medium,2,Meal,scooter,1.0,Yes,Metropolitian,44
0x48a5,30.0,4.8,12.352058,76.60665,12.372058,76.62665,0.416666667,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26
0x3bfc,30.0,4.9,0.0,0.0,0.01,0.01,10:50,Cloudy,Low,1,Buffet,scooter,0.0,No,Urban,16
0x8303,34.0,4.2,26.956431,75.776649,27.086431,75.906649,18:35,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,31
0x5127,38.0,5.0,26.914142,75.805704,26.944142,75.835704,21:30,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31
0x222b,23.0,4.9,19.1813,72.836191,19.2313,72.886191,17:55,Sunny,Medium,2,Buffet,scooter,0.0,No,Urban,17
0xd8a7,30.0,5.0,23.184992,77.417227,23.244992,77.477227,22:35,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,29
0x4b61,39.0,4.6,26.913483,75.803139,27.023483,75.913139,23:30,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,37
0x8f3b,36.0,3.6,21.160522,72.771477,21.240522,72.851477,18:10,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,39
0xc6de,21.0,4.9,30.89286,75.822199,30.96286,75.892199,21:05,Sandstorms,Jam,2,Drinks,scooter,0.0,No,Metropolitian,15
0x470b,33.0,4.7,13.081878,80.248519,13.151878,80.318519,18:10,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26
0x9fb9,31.0,4.9,0.0,0.0,0.05,0.05,21:40,Stormy,Jam,0,Drinks,motorcycle,3.0,No,Urban,49
0xb749,37.0,4.6,13.091809,80.219104,13.221809,80.349104,19:05,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,44
0x5109,33.0,4.9,18.554382,73.798206,18.664382,73.908206,18:10,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,49
0x67e0,21.0,4.6,13.066762,80.251865,13.126762,80.311865,20:55,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Urban,29
0x49ed,24.0,4.8,17.438263,78.397865,17.568263,78.527865,19:05,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,29
0x64c4,39.0,4.9,12.933284,77.615428,12.963284,77.645428,0.958333333,Sunny,Low,1,Buffet,scooter,1.0,No,Urban,19
0xb9ac,31.0,4.7,22.307898,73.167788,22.337898,73.197788,22:45,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25
0x4632,37.0,4.6,13.022394,80.242439,13.112394,80.332439,17:50,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Urban,26
0x5809,23.0,4.8,12.934179,77.615797,13.004179,77.685797,23:05,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20
0xd02f,25.0,4.7,23.214294,77.435361,23.244294,77.465361,0.75,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,19
0x6225,25.0,4.9,17.429585,78.392621,17.459585,78.422621,21:30,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,18
0x98d4,21.0,5.0,12.981615,80.231598,13.001615,80.251598,08:55,Windy,Low,2,Snack,scooter,1.0,No,Urban,11
0xdee7,34.0,4.4,30.899584,75.809346,31.039584,75.949346,21:30,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,42
0xa9ed,25.0,4.8,23.355164,85.324097,23.465164,85.434097,22:25,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,23
0x4107,29.0,4.9,21.170798,72.790489,21.190798,72.810489,10:15,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,16
0x4398,28.0,5.0,22.308096,73.167753,22.358096,73.217753,19:20,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,35
0x4907,34.0,4.6,12.970221,77.645396,13.000221,77.675396,20:10,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,34
